quarter,department,expense_type,revenue,expenses,investment,roi_percentage,economic_index,profit
2019-03-31,Sales,COGS,366070.45,320375.85,52029.08,0.227,97.06,45694.6
2024-09-30,Finance,Utilities,397577.23,329387.4,54387.08,0.179,117.82,68189.83
2020-06-30,Sales,R&D,474687.06,274766.62,18677.79,0.052,101.3,199920.44
2018-03-31,Marketing,Admin,603105.85,196868.98,38429.58,0.243,109.19,406236.87
2023-06-30,Sales,Admin,596529.94,319281.87,63682.33,0.207,109.38,277248.07
2019-06-30,Operations,Utilities,599881.92,319820.33,60903.72,0.25,107.92,280061.59
2021-03-31,Sales,R&D,398967.55,273692.2,28768.06,0.203,81.98,125275.35
2021-09-30,Finance,Admin,477771.76,276846.71,40780.91,0.203,104.89,200925.05
2018-12-31,IT,Salaries,623564.31,312334.89,-14236.03,0.19,115.79,311229.42
2021-03-31,Sales,Utilities,323530.86,399640.12,34183.67,0.135,113.74,-76109.26
2023-12-31,Sales,Marketing Spend,454055.13,393970.1,84558.86,0.113,116.6,60085.03
2022-12-31,Marketing,R&D,522216.73,338526.3,54665.46,0.155,97.78,183690.43
2023-12-31,Finance,Utilities,329487.04,265696.49,72447.75,0.086,98.18,63790.55
2021-09-30,IT,COGS,542886.05,272798.64,16315.25,0.194,112.33,270087.41
2019-12-31,Operations,Admin,654699.31,280501.8,51916.5,0.249,92.14,374197.51
2019-03-31,Sales,Salaries,622458.47,263980.08,47659.12,0.17,110.6,358478.39
2021-09-30,IT,Salaries,482224.37,211859.44,37556.51,0.221,100.18,270364.93
2018-12-31,Operations,Marketing Spend,581439.5,237639.05,45387.28,0.084,90.57,343800.45
2020-12-31,Finance,Utilities,328366.99,348188.73,39457.2,0.215,105.75,-19821.74
2021-03-31,Finance,Salaries,527835.29,248638.64,26681.71,0.231,91.83,279196.65
2018-06-30,IT,Utilities,469532.57,302883.07,52690.59,0.218,106.87,166649.5
2024-09-30,Operations,Admin,485056.49,300087.24,67481.88,0.175,102.77,184969.25
2022-09-30,Finance,Admin,510383.0,336716.82,34363.58,0.235,108.89,173666.18
2022-09-30,IT,Salaries,538763.19,247179.2,35283.77,0.242,103.96,291583.99
2018-12-31,Finance,Admin,354791.05,35341.64,66122.03,0.213,110.33,319449.41
2018-12-31,Finance,Utilities,401954.27,250679.64,50976.07,0.159,119.85,151274.63
2024-06-30,Finance,Admin,474373.87,226073.62,43024.42,0.217,98.71,248300.25
2020-09-30,Marketing,COGS,322133.89,131946.89,51971.38,0.124,103.93,190187.0
2024-09-30,Operations,Utilities,513724.94,255734.57,91231.86,0.119,84.08,257990.37
2019-03-31,IT,R&D,583271.82,245233.11,72994.34,0.12,118.02,338038.71
2022-12-31,IT,Admin,639214.28,297805.08,84477.06,0.09,103.85,341409.2
2020-09-30,Operations,Admin,509641.96,341948.46,64715.48,0.175,84.11,167693.5
2020-06-30,Operations,Utilities,688638.5,449964.79,34749.98,0.182,96.0,238673.71
2019-12-31,Operations,Marketing Spend,496495.63,307454.14,41160.55,0.222,83.25,189041.49
2019-06-30,Operations,R&D,374321.17,302409.08,34876.03,0.189,99.89,71912.09
2019-06-30,Sales,R&D,494404.61,459830.56,62454.36,0.206,91.08,34574.05
2019-12-31,IT,R&D,479432.71,198477.33,43923.36,0.188,93.61,280955.38
2023-09-30,Sales,Salaries,551615.76,203757.34,33326.91,0.189,82.76,347858.42
2021-09-30,Finance,COGS,527062.6,348182.01,47725.44,0.118,110.5,178880.59
2024-06-30,Finance,COGS,519927.44,405234.53,22011.04,0.243,113.65,114692.91
2021-06-30,IT,Marketing Spend,596691.02,414562.79,70175.06,0.178,85.61,182128.23
2020-09-30,Finance,R&D,457004.17,155635.0,30672.13,0.167,110.03,301369.17
2020-12-31,Operations,R&D,553872.45,157952.22,68249.68,0.219,85.14,395920.23
2024-06-30,Sales,Admin,528086.65,290631.19,59319.01,0.134,83.42,237455.46
2021-03-31,Operations,Utilities,511394.55,356717.09,61520.34,0.069,84.56,154677.46
2019-12-31,Finance,Salaries,493429.52,269492.69,27089.34,0.098,81.27,223936.83
2022-06-30,Sales,Salaries,372871.95,205829.53,51327.41,0.212,95.04,167042.42
2024-03-31,Operations,Marketing Spend,474608.74,198137.42,39624.68,0.196,118.12,276471.32
2018-03-31,IT,COGS,481020.61,382891.7,14957.41,0.073,115.97,98128.91
2021-09-30,Operations,R&D,427727.53,385324.12,78721.18,0.064,93.28,42403.41
2019-12-31,Finance,Utilities,364211.5,350446.85,48094.95,0.174,111.79,13764.65
2024-12-31,Sales,Marketing Spend,444347.53,295990.34,40988.77,0.238,112.98,148357.19
2020-09-30,IT,Salaries,452657.47,230582.54,77479.56,0.085,86.08,222074.93
2020-12-31,Sales,Salaries,365968.77,147347.96,69340.81,0.16,89.18,218620.81
2020-12-31,IT,Salaries,365864.18,179815.67,116072.48,0.212,107.62,186048.51
2018-12-31,Sales,R&D,290805.83,136949.63,30967.61,0.156,90.56,153856.2
2021-12-31,Finance,R&D,529507.32,275984.92,38609.06,0.12,117.53,253522.4
2018-12-31,IT,R&D,597803.68,337256.67,88797.14,0.208,89.23,260547.01
2019-03-31,Marketing,Admin,501610.22,305263.57,32876.67,0.204,111.97,196346.65
2023-12-31,Sales,COGS,459568.54,413292.54,35382.78,0.216,110.32,46276.0
2019-03-31,Sales,Salaries,360999.11,314305.57,48375.86,0.239,100.15,46693.54
2019-12-31,Operations,Salaries,279512.09,168486.71,82968.72,0.08,90.53,111025.38
2020-06-30,IT,Admin,496702.65,289061.73,39392.74,0.118,81.35,207640.92
2022-03-31,Marketing,Salaries,561566.84,291497.79,95552.79,0.247,113.14,270069.05
2024-12-31,Finance,Salaries,416759.15,339962.04,49734.73,0.169,95.11,76797.11
2024-06-30,Operations,R&D,605540.97,367801.14,76827.86,0.184,93.6,237739.83
2020-03-31,Marketing,R&D,431111.19,337769.02,43180.8,0.227,81.78,93342.17
2023-06-30,IT,COGS,608499.83,261064.35,30499.27,0.188,86.05,347435.48
2022-09-30,Marketing,Salaries,421920.4,410421.5,61469.89,0.187,94.72,11498.9
2021-06-30,Sales,Marketing Spend,233706.8,366935.93,20933.75,0.071,107.63,-133229.13
2019-12-31,Sales,Salaries,562635.57,92762.0,17163.09,0.151,88.29,469873.57
2020-03-31,Operations,Salaries,407715.34,361058.58,64135.83,0.185,86.54,46656.76
2023-06-30,IT,COGS,345753.6,229167.48,38548.56,0.211,90.49,116586.12
2020-09-30,IT,Marketing Spend,548159.3,159622.01,22439.77,0.133,91.34,388537.29
2023-09-30,Marketing,Salaries,411063.0,320145.9,38000.01,0.075,96.4,90917.1
2018-03-31,Operations,Utilities,358710.01,485874.1,61234.48,0.123,94.44,-127164.09
2021-06-30,IT,Utilities,631140.92,295753.21,31187.5,0.136,82.96,335387.71
2019-03-31,Sales,Marketing Spend,479525.2,276876.92,-5792.18,0.2,104.72,202648.28
2023-03-31,Marketing,Utilities,356490.76,307724.36,46791.08,0.054,85.22,48766.4
2024-06-30,Finance,R&D,453687.2,491236.84,57171.89,0.127,114.74,-37549.64
2021-06-30,Sales,R&D,713256.31,278558.44,66230.05,0.14,114.38,434697.87
2018-12-31,Operations,Marketing Spend,511236.05,378671.07,70447.53,0.16,82.9,132564.98
2023-06-30,IT,Salaries,435815.45,268151.52,46824.38,0.244,96.52,167663.93
2023-09-30,Sales,Marketing Spend,550137.66,253544.11,88006.76,0.198,99.08,296593.55
2024-03-31,Finance,Utilities,454566.12,412976.85,47537.87,0.094,119.83,41589.27
2018-03-31,Finance,Marketing Spend,449059.25,211800.95,45469.02,0.177,90.05,237258.3
2023-06-30,Operations,Utilities,434363.15,359729.02,44208.8,0.119,105.44,74634.13
2023-09-30,Sales,R&D,585394.9,272658.42,52851.11,0.212,98.28,312736.48
2022-09-30,Marketing,Marketing Spend,519475.44,239425.75,60172.32,0.084,110.74,280049.69
2019-12-31,Sales,Admin,642224.38,266559.79,77917.27,0.079,89.94,375664.59
2021-09-30,Finance,Utilities,530688.53,119895.26,39177.94,0.07,107.24,410793.27
2023-03-31,Operations,Admin,652760.04,215992.59,33949.07,0.159,85.2,436767.45
2021-09-30,Operations,R&D,565008.66,310720.92,52820.82,0.075,80.61,254287.74
2020-03-31,Marketing,Salaries,474005.17,280191.33,41240.5,0.058,80.73,193813.84
2023-03-31,Operations,Utilities,486462.44,224332.85,27586.59,0.116,99.71,262129.59
2020-03-31,Operations,Salaries,682787.21,418532.65,74082.15,0.21,110.83,264254.56
2020-06-30,Operations,R&D,630381.73,220528.81,73449.93,0.081,103.11,409852.92
2022-12-31,Operations,Salaries,654675.78,414974.58,20621.84,0.122,81.45,239701.2
2024-03-31,Operations,Utilities,399254.98,311753.43,47273.52,0.137,102.08,87501.55
2023-03-31,Finance,COGS,312483.11,278929.57,61540.39,0.225,84.53,33553.54
2024-06-30,Sales,Utilities,415683.33,307488.86,88438.75,0.145,118.62,108194.47
2020-03-31,IT,Utilities,516548.24,323493.25,48757.4,0.152,94.1,193054.99
2018-09-30,Operations,Admin,435443.76,223549.3,67262.46,0.101,100.14,211894.46
2022-12-31,IT,COGS,502740.85,225722.72,42620.67,0.184,93.55,277018.13
2024-03-31,IT,COGS,454878.97,283968.99,59077.47,0.055,98.68,170909.98
2024-06-30,Finance,COGS,323530.08,334959.86,68030.74,0.243,118.34,-11429.78
2020-09-30,Operations,Utilities,542889.59,353095.59,56977.54,0.15,90.42,189794.0
2019-06-30,IT,R&D,503086.74,399638.43,50532.83,0.062,108.72,103448.31
2018-06-30,Operations,COGS,632935.24,201711.69,69352.71,0.162,110.21,431223.55
2019-09-30,Marketing,Marketing Spend,515985.58,328538.6,77345.56,0.153,87.62,187446.98
2022-06-30,Marketing,Salaries,578265.0,298963.42,53014.2,0.098,109.17,279301.58
2024-09-30,Marketing,R&D,418072.9,257376.49,70654.53,0.092,105.92,160696.41
2018-06-30,IT,Marketing Spend,534700.82,460292.62,38776.95,0.104,91.64,74408.2
2024-09-30,Marketing,Utilities,580857.91,334567.45,42034.9,0.076,100.91,246290.46
2022-03-31,Finance,Utilities,555636.54,414314.53,81365.1,0.156,103.6,141322.01
2020-09-30,Finance,Marketing Spend,477345.17,30901.91,-8040.79,0.226,113.46,446443.26
2024-09-30,IT,Admin,535044.98,383765.47,45232.95,0.235,84.99,151279.51
2020-12-31,Operations,Admin,562274.69,342886.82,54332.94,0.241,118.88,219387.87
2024-09-30,Sales,Marketing Spend,620138.86,356145.53,26734.59,0.17,110.77,263993.33
2022-09-30,Operations,Admin,443888.45,276557.14,71526.16,0.174,101.4,167331.31
2023-06-30,Operations,Salaries,388317.99,468854.76,49038.87,0.112,111.05,-80536.77
2023-12-31,Operations,Salaries,416868.83,284250.07,64265.93,0.227,109.33,132618.76
2024-03-31,Operations,Utilities,514540.15,298504.06,80189.73,0.148,98.41,216036.09
2019-09-30,Sales,Admin,500439.11,221732.09,74616.7,0.106,93.44,278707.02
2022-12-31,Marketing,COGS,562731.74,296854.57,43050.39,0.243,119.54,265877.17
2019-06-30,Operations,Marketing Spend,583077.67,286033.06,27252.81,0.191,115.38,297044.61
2023-03-31,Finance,Salaries,311479.51,385763.6,41922.33,0.143,118.04,-74284.09
2023-12-31,IT,Admin,451892.68,350776.26,53133.94,0.064,81.94,101116.42
2018-03-31,IT,Admin,521223.38,393864.79,14432.9,0.078,112.61,127358.59
2022-03-31,Finance,Salaries,611517.89,291378.86,81753.11,0.089,115.65,320139.03
2020-09-30,Operations,Salaries,494661.95,272852.3,52426.8,0.231,99.08,221809.65
2023-06-30,Sales,COGS,636545.19,370729.64,45324.71,0.244,115.64,265815.55
2024-06-30,Marketing,Admin,555137.97,312635.95,11351.32,0.103,84.04,242502.02
2024-12-31,IT,Admin,538077.61,111174.66,50262.18,0.15,82.42,426902.95
2022-06-30,Marketing,R&D,488977.58,263786.79,51916.22,0.208,91.66,225190.79
2023-03-31,Sales,Utilities,497538.92,125100.19,33222.09,0.127,81.05,372438.73
2022-03-31,IT,COGS,533078.26,234757.24,55952.79,0.148,107.36,298321.02
2019-09-30,Marketing,Salaries,480462.02,382084.76,47414.14,0.228,117.08,98377.26
2022-03-31,Sales,Salaries,611256.16,273081.9,17895.62,0.092,91.8,338174.26
2022-12-31,Marketing,Marketing Spend,587957.78,278441.77,63669.58,0.249,106.38,309516.01
2020-03-31,Operations,Utilities,619799.5,284467.01,99414.82,0.141,98.72,335332.49
2022-03-31,Sales,Salaries,396010.21,300880.06,85805.59,0.102,90.2,95130.15
2022-12-31,Marketing,Admin,392725.87,273217.96,59833.34,0.228,116.74,119507.91
2023-06-30,Operations,Salaries,548790.44,445333.32,55544.04,0.065,118.32,103457.12
2023-06-30,Operations,Admin,491938.37,163730.93,19853.04,0.178,85.39,328207.44
2024-12-31,Sales,Admin,525884.07,318313.14,55032.01,0.062,110.68,207570.93
2019-12-31,Finance,COGS,388257.99,344494.92,44128.5,0.239,87.55,43763.07
2022-03-31,IT,Salaries,354203.29,228415.78,-786.06,0.178,99.53,125787.51
2019-09-30,Sales,COGS,523258.01,351652.21,42467.54,0.13,94.44,171605.8
2018-03-31,Operations,Utilities,424011.52,246569.93,38508.52,0.135,89.76,177441.59
2021-03-31,Operations,Admin,571410.59,338386.49,19097.0,0.083,107.03,233024.1
2023-09-30,Sales,Utilities,438462.87,199053.44,47970.39,0.122,114.22,239409.43
2022-09-30,Finance,Salaries,411252.72,306999.85,20443.11,0.231,111.25,104252.87
2024-09-30,IT,Utilities,273334.78,478383.88,58096.54,0.211,108.89,-205049.1
2023-12-31,Marketing,Utilities,624754.65,227597.26,61165.0,0.182,82.65,397157.39
2022-09-30,Sales,Salaries,569755.04,266764.56,8750.73,0.244,83.9,302990.48
2022-03-31,IT,COGS,350430.25,431976.06,41761.33,0.165,98.59,-81545.81
2021-03-31,IT,COGS,300254.36,398916.7,40630.77,0.085,102.23,-98662.34
2021-12-31,Operations,Admin,440292.33,439882.48,45279.57,0.193,108.94,409.85
2019-12-31,Marketing,Admin,594732.1,270458.09,912.17,0.168,94.23,324274.01
2022-09-30,Sales,Salaries,447291.6,327752.5,57716.54,0.137,80.92,119539.1
2022-06-30,Operations,Salaries,479288.34,336893.62,80376.31,0.079,81.44,142394.72
2018-03-31,Operations,R&D,599058.62,237840.88,80328.07,0.186,114.19,361217.74
2021-06-30,Finance,R&D,401173.19,210590.35,68192.95,0.139,85.14,190582.84
2022-09-30,IT,Marketing Spend,431788.37,200730.73,9727.81,0.166,117.48,231057.64
2021-09-30,Sales,Admin,521958.58,259880.13,37415.91,0.113,93.31,262078.45
2022-06-30,Sales,Utilities,471980.8,197772.63,60071.56,0.081,103.35,274208.17
2018-06-30,Sales,Marketing Spend,412280.71,245847.6,59215.71,0.122,86.74,166433.11
2023-06-30,Operations,Marketing Spend,570724.95,219533.5,73225.47,0.22,98.16,351191.45
2024-12-31,Finance,COGS,551783.74,340975.59,44750.42,0.082,115.03,210808.15
2022-03-31,Marketing,Utilities,583217.74,331600.29,25599.12,0.144,119.37,251617.45
2022-06-30,Operations,COGS,484669.78,254286.32,60606.54,0.11,110.66,230383.46
2019-06-30,Marketing,R&D,323911.27,272666.95,40470.7,0.242,110.58,51244.32
2022-09-30,Finance,Marketing Spend,501075.47,347641.41,77894.59,0.067,115.41,153434.06
2018-12-31,IT,R&D,382820.25,271606.51,63443.51,0.099,89.8,111213.74
2018-03-31,Sales,Utilities,297307.57,252368.33,42614.08,0.14,109.45,44939.24
2019-12-31,Marketing,Utilities,472528.65,193663.7,53367.36,0.099,102.33,278864.95
2023-09-30,Operations,Admin,510176.27,404431.57,72324.63,0.191,90.47,105744.7
2019-09-30,Marketing,Salaries,659827.77,170316.98,60605.05,0.124,82.22,489510.79
2018-09-30,IT,COGS,379439.54,274758.67,52762.4,0.206,88.03,104680.87
2020-06-30,Sales,Admin,567705.3,229173.94,55039.55,0.16,106.01,338531.36
2020-06-30,Marketing,Admin,340108.26,311636.51,43900.79,0.135,102.79,28471.75
2022-09-30,IT,COGS,627011.17,264211.11,58247.37,0.123,82.77,362800.06
2021-06-30,Operations,COGS,429935.42,306702.12,50452.83,0.094,102.49,123233.3
2018-06-30,Finance,Utilities,466516.88,232748.3,29260.73,0.101,95.63,233768.58
2024-12-31,Operations,Utilities,467798.09,263711.29,58556.38,0.085,80.6,204086.8
2018-03-31,Sales,Marketing Spend,575895.89,192223.77,61023.13,0.22,116.38,383672.12
2023-09-30,Operations,R&D,354952.66,219339.03,70140.55,0.16,90.34,135613.63
2023-09-30,Operations,Utilities,482259.48,262950.35,18308.45,0.147,102.14,219309.13
2024-12-31,Operations,Admin,435868.56,313143.25,55350.84,0.114,103.57,122725.31
2022-06-30,Operations,Marketing Spend,719804.79,288243.01,42242.6,0.153,99.95,431561.78
2019-09-30,Sales,Marketing Spend,391502.16,409090.37,61437.91,0.227,89.58,-17588.21
2019-12-31,IT,Admin,241793.59,178934.09,25350.44,0.221,96.29,62859.5
2018-03-31,Marketing,Utilities,669459.54,279072.4,75920.68,0.17,91.61,390387.14
2024-03-31,Finance,Admin,549133.91,118162.54,28525.11,0.156,97.34,430971.37
2023-09-30,Marketing,Salaries,421262.51,286702.55,39897.7,0.095,83.31,134559.96
2018-09-30,Marketing,Utilities,496778.96,246330.55,104243.45,0.189,86.64,250448.41
2023-12-31,Finance,R&D,419900.6,258717.1,51862.4,0.221,85.5,161183.5
2023-09-30,Sales,Admin,304300.23,245455.66,71815.69,0.111,103.8,58844.57
2024-09-30,Finance,Utilities,483572.54,334793.04,54956.03,0.137,106.24,148779.5
2019-12-31,Sales,COGS,482856.47,322395.19,75368.41,0.071,116.56,160461.28
2023-06-30,Marketing,Salaries,533934.7,203523.06,66087.42,0.222,90.49,330411.64
2024-03-31,Sales,R&D,402700.45,281957.47,34031.25,0.07,95.74,120742.98
2021-09-30,IT,Utilities,422527.29,178340.11,14453.96,0.191,104.9,244187.18
2019-03-31,Finance,COGS,462343.35,163383.39,24473.29,0.087,118.87,298959.96
2018-09-30,IT,Utilities,401915.3,332049.39,39897.14,0.197,95.66,69865.91
2022-09-30,Marketing,COGS,613676.31,209020.68,61295.11,0.179,91.58,404655.63
2018-03-31,Finance,R&D,584912.26,250884.53,70029.35,0.188,95.51,334027.73
2024-12-31,Marketing,Salaries,448411.51,317541.54,49063.83,0.177,92.37,130869.97
2021-09-30,IT,COGS,553458.36,298590.14,53319.16,0.129,83.4,254868.22
2019-12-31,Marketing,Marketing Spend,376171.31,412305.23,3699.19,0.174,93.84,-36133.92
2018-06-30,Finance,R&D,453864.8,199444.77,44320.76,0.097,103.41,254420.03
2018-09-30,Finance,R&D,646357.8,397560.3,48118.92,0.105,87.31,248797.5
2023-12-31,Marketing,Admin,564587.42,346278.34,58977.11,0.063,113.35,218309.08
2021-06-30,Finance,Salaries,528908.22,360796.94,43479.12,0.173,109.41,168111.28
2023-12-31,Finance,Marketing Spend,464145.24,268671.07,39983.38,0.218,102.34,195474.17
2021-06-30,Marketing,Marketing Spend,495806.22,223847.83,87766.0,0.126,109.5,271958.39
2020-09-30,IT,Admin,353161.19,307609.95,22432.94,0.092,92.67,45551.24
2021-12-31,Finance,COGS,467661.27,223465.7,77330.14,0.215,88.01,244195.57
2018-12-31,Finance,COGS,537603.11,220904.39,62471.12,0.179,113.69,316698.72
2022-12-31,Finance,Marketing Spend,497357.86,312044.86,47478.02,0.229,112.75,185313.0
2019-03-31,Finance,Salaries,497358.52,384171.55,94048.78,0.051,109.44,113186.97
2023-06-30,Marketing,COGS,434560.33,171689.27,48710.59,0.13,90.25,262871.06
2023-03-31,IT,R&D,409225.24,404555.24,32861.85,0.23,93.75,4670.0
2021-06-30,IT,Utilities,400077.48,200668.93,54280.64,0.185,95.22,199408.55
2023-09-30,Sales,Admin,474811.99,275478.02,67514.97,0.144,87.37,199333.97
2021-12-31,Finance,Salaries,573424.36,276728.26,61052.74,0.133,110.4,296696.1
2022-06-30,Finance,COGS,414146.63,261264.99,39195.73,0.229,87.39,152881.64
2019-09-30,Sales,Utilities,504076.12,281047.58,63302.6,0.216,88.87,223028.54
2020-06-30,IT,Marketing Spend,501547.94,310743.7,15639.34,0.052,81.93,190804.24
2019-09-30,Operations,Admin,593012.99,401797.06,77224.77,0.074,106.53,191215.93
2018-03-31,Operations,COGS,501338.19,283837.3,66002.21,0.152,117.16,217500.89
2023-09-30,IT,Marketing Spend,351215.06,226996.61,6617.5,0.073,99.35,124218.45
2023-03-31,Finance,COGS,712487.72,214487.27,35366.3,0.105,115.91,498000.45
2022-09-30,Operations,Admin,597169.07,325530.06,74925.65,0.217,113.64,271639.01
2021-12-31,Marketing,R&D,548319.09,365390.68,45395.71,0.127,111.79,182928.41
2022-09-30,Marketing,R&D,442450.32,248082.95,49291.11,0.14,86.71,194367.37
2018-12-31,Sales,Utilities,468107.0,373323.74,78120.43,0.085,95.09,94783.26
2024-12-31,IT,Marketing Spend,357761.22,473494.12,38138.05,0.17,106.55,-115732.9
2022-06-30,IT,R&D,466626.67,405554.38,7105.5,0.074,93.77,61072.29
2018-06-30,Operations,Admin,517569.65,242042.36,77644.48,0.176,108.44,275527.29
2018-03-31,Finance,Marketing Spend,497478.99,382503.36,41257.01,0.199,91.49,114975.63
2021-09-30,IT,COGS,675255.68,373998.89,49469.97,0.225,95.7,301256.79
2019-03-31,Operations,Salaries,567098.67,305051.83,46109.11,0.166,109.26,262046.84
2022-12-31,Operations,COGS,597360.27,371782.19,40298.81,0.116,84.72,225578.08
2020-09-30,IT,Admin,554016.57,360857.87,32737.25,0.22,111.47,193158.7
2020-06-30,Operations,Utilities,516263.9,399788.48,46400.14,0.169,108.5,116475.42
2018-06-30,Sales,Marketing Spend,545481.35,346306.62,30878.04,0.122,97.99,199174.73
2018-09-30,Sales,COGS,301587.49,360384.83,77420.22,0.115,97.5,-58797.34
2023-09-30,IT,Marketing Spend,473963.08,218373.8,74315.28,0.114,116.27,255589.28
2023-09-30,Finance,R&D,360223.07,299829.92,61064.19,0.061,108.65,60393.15
2020-12-31,Sales,Salaries,382005.19,240008.94,60422.57,0.07,104.81,141996.25
2022-12-31,Sales,Admin,619362.28,395636.76,16010.8,0.068,114.57,223725.52
2019-03-31,IT,COGS,392345.8,191354.05,72620.92,0.112,93.26,200991.75
2019-03-31,Marketing,Salaries,367634.33,124925.21,41017.08,0.145,91.47,242709.12
2019-06-30,Operations,Admin,538957.96,186729.48,77004.87,0.08,88.39,352228.48
2020-03-31,Sales,Admin,493132.08,281778.61,83948.26,0.216,100.81,211353.47
2018-06-30,Marketing,Utilities,544626.45,138115.34,45166.38,0.063,119.52,406511.11
2023-03-31,Finance,R&D,675590.54,148562.53,5148.82,0.239,117.14,527028.01
2020-12-31,Marketing,Utilities,557275.87,353193.99,54627.23,0.065,98.21,204081.88
2018-09-30,IT,Utilities,344939.01,188557.75,26857.38,0.229,84.45,156381.26
2022-12-31,Finance,Marketing Spend,593289.72,380396.84,38009.43,0.102,114.98,212892.88
2024-06-30,Finance,Marketing Spend,478007.6,194246.6,45781.03,0.247,116.9,283761.0
2023-06-30,Marketing,Salaries,516794.52,129059.02,68951.16,0.154,86.85,387735.5
2020-12-31,IT,R&D,334658.94,217699.34,58996.8,0.054,115.34,116959.6
2023-12-31,Sales,Admin,550325.15,196950.37,80780.83,0.107,97.85,353374.78
2022-03-31,Marketing,R&D,369852.53,196543.26,34113.75,0.238,80.47,173309.27
2020-06-30,Sales,R&D,553424.93,291237.74,72539.47,0.11,117.73,262187.19
2023-12-31,Marketing,Salaries,427713.52,313618.83,65498.21,0.122,81.71,114094.69
2024-09-30,Sales,Marketing Spend,572216.44,410574.79,63469.35,0.059,81.38,161641.65
2021-06-30,Marketing,R&D,370494.49,270988.61,72231.63,0.101,118.54,99505.88
2023-09-30,Finance,R&D,343923.18,322925.43,66582.31,0.102,88.58,20997.75
2022-03-31,Operations,R&D,445861.18,193663.4,17661.16,0.193,102.23,252197.78
2022-06-30,Finance,COGS,526631.97,227379.23,38448.77,0.151,117.71,299252.74
2022-09-30,Sales,R&D,385484.22,404016.33,69493.44,0.082,117.6,-18532.11
2022-03-31,IT,R&D,520383.07,412371.54,59674.65,0.209,86.96,108011.53
2021-06-30,Finance,Admin,587440.62,426996.39,70787.18,0.172,100.54,160444.23
2020-03-31,Operations,Utilities,367639.4,289940.89,54082.78,0.104,80.28,77698.51
2019-12-31,Sales,COGS,520537.4,194053.84,39380.18,0.095,83.62,326483.56
2018-06-30,Finance,R&D,553978.4,237496.68,33588.32,0.235,117.93,316481.72
2021-03-31,Marketing,Utilities,480712.11,273774.49,17071.8,0.177,96.61,206937.62
2024-03-31,IT,R&D,491751.62,254787.4,60547.95,0.211,86.01,236964.22
2019-09-30,Sales,Salaries,359110.45,309065.77,21067.97,0.095,105.26,50044.68
2020-03-31,Finance,Salaries,543745.6,360102.52,50011.83,0.168,86.93,183643.08
2023-06-30,Sales,Utilities,506121.31,217679.35,47701.36,0.061,119.21,288441.96
2023-06-30,Marketing,COGS,515066.65,453399.64,72288.56,0.169,106.83,61667.01
2020-09-30,Operations,Admin,706467.47,305957.64,95870.58,0.091,94.75,400509.83
2021-06-30,Finance,COGS,479333.44,408630.76,42248.1,0.184,95.25,70702.68
2018-12-31,Sales,COGS,532265.41,333873.96,60499.51,0.236,116.68,198391.45
2024-06-30,Sales,Salaries,628811.21,472495.62,49963.67,0.142,115.8,156315.59
2024-06-30,Sales,Salaries,495170.6,206948.89,32087.89,0.111,118.0,288221.71
2021-03-31,Operations,Admin,428342.26,258902.51,73633.38,0.075,98.15,169439.75
2018-06-30,Sales,R&D,539837.84,259166.03,57997.81,0.184,114.03,280671.81
2023-09-30,IT,Admin,431499.27,314626.21,61786.58,0.167,99.39,116873.06
2019-03-31,IT,R&D,619934.02,310059.76,67950.66,0.159,105.32,309874.26
2020-09-30,Sales,Utilities,551471.92,331107.97,68095.2,0.237,100.3,220363.95
2019-06-30,IT,Utilities,413893.87,311196.7,46706.24,0.246,104.33,102697.17
2022-06-30,Finance,Marketing Spend,375282.2,344588.61,71009.75,0.193,100.38,30693.59
2023-03-31,IT,Salaries,515634.87,261290.34,46751.0,0.089,86.19,254344.53
2020-06-30,Sales,Marketing Spend,525549.83,337406.05,25915.47,0.239,84.34,188143.78
2018-12-31,Marketing,Marketing Spend,375525.02,525200.77,59968.3,0.119,117.64,-149675.75
2020-03-31,Finance,Salaries,578574.4,300360.44,77107.77,0.066,100.39,278213.96
2019-06-30,Operations,Marketing Spend,566525.06,184457.16,36630.09,0.098,117.67,382067.9
2018-06-30,Sales,COGS,534156.28,249831.66,18377.49,0.216,107.43,284324.62
2022-03-31,Operations,R&D,575780.79,263237.44,52528.04,0.091,83.56,312543.35
2019-03-31,Marketing,Admin,401028.64,229130.55,29063.07,0.129,88.06,171898.09
2024-03-31,Operations,Salaries,406856.47,309777.62,38642.45,0.105,110.71,97078.85
2019-06-30,Sales,COGS,474027.09,363920.4,51889.89,0.06,87.11,110106.69
2024-06-30,Sales,Utilities,436555.74,195987.22,-9242.77,0.162,80.31,240568.52
2020-12-31,Marketing,Admin,550216.03,164454.23,40858.94,0.176,84.47,385761.8
2023-09-30,Sales,Admin,580551.64,497919.16,42325.18,0.208,99.07,82632.48
2023-03-31,Marketing,Admin,429651.28,224985.04,86986.14,0.133,86.53,204666.24
2020-06-30,Marketing,Marketing Spend,413219.6,413074.41,46872.93,0.078,81.8,145.19
2023-06-30,Sales,Marketing Spend,585479.79,360891.29,92641.35,0.18,109.74,224588.5
2023-03-31,IT,Marketing Spend,401801.04,251714.62,74710.63,0.228,118.88,150086.42
2024-09-30,Marketing,Marketing Spend,471444.31,236975.85,58964.71,0.074,119.14,234468.46
2024-03-31,Sales,COGS,399011.95,251636.9,57155.55,0.087,116.0,147375.05
